"title","budget","genre","mpaa","runtimes","rating"
"American Reunion","50000000","5","4","113","6.8"
"American Sniper","58800000","20","4","132","7.4"
"American Virgin","4000000","5","4","88","4.3"
"American Wedding","55000000","5","4","96","6.3"
"AmericanEast","2500000","4","4","110","6.3"
"Americanizing Shelley","5000000","5","2","90","5.1"
"Amigo","1700000","4","4","124","5.6"
"Amistad","36000000","4","4","155","7.2"
"Amores perros","2000000","4","4","154","8.1"
"Amour","8900000","4","3","125","7.8"
"Amusement","6000000","2","4","85","5.2"
"Amy's Orgasm","500000","5","4","87","5.3"
"An Alan Smithee Film: Burn Hollywood Burn","10000000","5","4","86","3.5"
"An American Carol","12000000","5","3","83","4.3"
"An American Crime","2000000","11","4","98","7.4"
"An American Haunting","14000000","2","3","83","5.0"
"An American Werewolf in Paris","22000000","5","4","105","5.1"
"An Awfully Big Adventure","4000000","5","4","112","6.0"
"An Evergreen Christmas","2000000","10","2","98","7.0"
"An Everlasting Piece","14000000","5","4","103","6.3"
"An Existential Affair","2000000","9","4","80","4.5"
"An Ideal Husband","14000000","5","3","97","6.9"
"An Unfinished Life","30000000","4","3","108","7.0"
"Anaconda","45000000","13","3","89","4.6"
"Anacondas: The Hunt for the Blood Orchid","25000000","13","3","97","4.5"
"Analyze This","30000000","5","4","103","6.7"
"Anchorman 2: The Legend Continues","50000000","5","3","119","6.4"
"Anchorman: The Legend of Ron Burgundy","26000000","5","3","94","7.3"
"And So It Goes","30000000","5","3","94","5.6"
"And When Did You Last See Your Father?","8000000","11","3","92","6.9"
"Anderson's Cross","300000","5","4","98","7.1"
"Angel Blade","2000000","18","4","93","2.9"
"Angel Dog","1000000","4","2","90","5.7"
"Angel Eyes","38000000","4","4","102","5.6"
"Angela's Ashes","25000000","4","4","145","7.3"
"Angels & Demons","150000000","6","3","138","6.7"
"Angels in the Outfield","24000000","5","2","102","6.0"
"Angels with Angles","1500000","5","2","87","5.3"
"Anger Management","75000000","5","3","106","6.2"
"Animals","5500000","2","4","93","3.9"
"Anna and the King","75000000","4","3","148","6.7"
"Anna Karenina","35000000","4","3","108","6.4"
"Annabelle","6500000","2","4","99","5.5"
"Annapolis","26000000","4","3","108","5.8"
"Annie","65000000","5","2","118","5.1"
"Anonymous","30000000","4","3","130","6.9"
"Another Day in Paradise","4500000","14","4","101","6.5"
"Another Happy Day","4000000","5","4","119","6.0"
"Another You","17000000","5","4","94","5.2"
"Answer This!","2000000","5","3","105","5.4"
"Antarctica: A Year on Ice","1000000","13","2","91","7.5"
"Antitrust","30000000","14","3","109","6.1"
"Antwone Fisher","12500000","11","3","120","7.3"
"Antz","60000000","13","2","83","6.6"
"Any Given Sunday","55000000","4","4","162","6.8"
"Anything Else","18000000","5","4","108","6.4"
"Anytown","1000000","14","4","85","4.8"
"Anywhere But Here","23000000","5","3","114","6.1"
"Aoki Ôkami: chi hate umi tsukiru made","30000000","20","4","136","6.3"
"Apartment 1303 3D","5000000","2","4","85","2.6"
"Apocalypse Now","31500000","4","4","153","8.5"
"Apocalypto","40000000","20","4","139","7.8"
"Apollo 13","62000000","13","2","140","7.6"
"Apollo 18","5000000","2","3","86","5.2"
