"title","budget","genre","mpaa","runtimes","rating","gross"
"Dellamorte Dellamore","4000000","5","4","105","7.3","253969"
"Demolition Man","57000000","20","4","115","6.6","58055768"
"Desperado","7000000","20","4","104","7.2","25625110"
"Despicable Me 2","76000000","19","2","98","7.5","368061265"
"Detroit Rock City","15000000","5","4","95","6.8","4217115"
"Deuce Bigalow: Male Gigolo","17000000","5","4","88","5.7","65538755"
"Devil in a Blue Dress","27000000","20","4","102","6.7","16030096"
"Di Renjie: Tong tian di guo","13000000","20","3","119","6.6","459836"
"Diary of a Mad Black Woman","5500000","5","3","116","5.6","50633099"
"Diary of a Wimpy Kid","15000000","5","2","94","6.2","64003625"
"Diary of a Wimpy Kid: Dog Days","22000000","5","2","94","6.4","49008662"
"Diary of a Wimpy Kid: Rodrick Rules","21000000","5","2","99","6.6","52698535"
"Diary of the Dead","2000000","2","4","95","5.7","958961"
"Die Hard: With a Vengeance","90000000","20","4","131","7.6","100012499"
"Dirty Dancing: Havana Nights","25000000","4","3","86","6.0","14161590"
"Disclosure","32000000","4","4","128","6.0","83015089"
"District 9","30000000","20","4","112","8.0","115646235"
"Divergent","85000000","13","3","139","6.8","150947895"
"Divine Secrets of the Ya-Ya Sisterhood","27000000","4","3","116","5.9","69599016"
"Django Unchained","100000000","22","4","165","8.5","162805434"
"Doctor Dolittle","71500000","5","3","85","5.3","144156605"
"Doctor Zhivago","11000000","4","3","197","8.0","111721910"
"Dodgeball: A True Underdog Story","20000000","5","3","92","6.7","114326736"
"Dolphin Tale","37000000","4","2","113","6.9","72286779"
"Dominion: Prequel to the Exorcist","30000000","4","4","117","5.4","251495"
"Don Jon","6000000","5","4","90","6.6","24477704"
"Don Juan DeMarco","25000000","5","3","97","6.8","22150451"
"Don't Say a Word","50000000","14","4","113","6.3","55001642"
"Donnie Brasco","35000000","11","4","127","7.8","41909762"
"Double Dragon","7850000","20","3","96","3.5","2341309"
"Double Impact","15000000","20","4","110","5.4","30102717"
"Double Jeopardy","70000000","14","4","105","6.3","116741558"
"Down to Earth","30000000","5","3","87","5.4","64186502"
"Dr. Dolittle 2","72000000","5","2","87","4.6","112952899"
"Dr. Jekyll and Ms. Hyde","8000000","5","3","90","4.3","2763020"
"Dr. Seuss' The Cat in the Hat","109000000","13","2","82","3.8","101149285"
"Dracula","40000000","2","4","128","7.5","82522790"
"Dracula 2000","54000000","2","4","99","4.9","33022767"
"Dracula Untold","70000000","20","3","92","6.3","56280355"
"Dracula: Dead and Loving It","30000000","5","3","88","5.7","10693649"
"Dragon: The Bruce Lee Story","14000000","20","3","120","7.0","35112679"
"DragonHeart","57000000","20","3","103","6.4","51367375"
"Dreamcatcher","68000000","4","4","136","5.5","33715436"
"Dreamgirls","70000000","4","3","130","6.6","103365956"
"Dredd","50000000","20","4","95","7.0","13414714"
"Drive Me Crazy","8000000","5","3","91","5.6","17845337"
"Drop Squad","2000000","4","4","86","4.4","734693"
"Drop Zone","45000000","20","4","101","5.6","28720380"
"Dumb & Dumber","16000000","5","3","107","7.3","127175354"
"Dumb and Dumber To","35000000","5","3","109","5.9","86208010"
