"title","budget","genre","mpaa","runtimes","gross"
"Blue Hawaii","2000000","5","2","102","10440453"
"Blue in the Face","2000000","5","4","83","1275999"
"Blue Jasmine","18000000","4","3","98","33405481"
"Blue Streak","65000000","20","3","93","49239967"
"Blue Valentine","1000000","4","5","112","9737892"
"Blues Brothers 2000","28000000","20","3","123","26000000"
"Bobby","14000000","4","4","120","11242801"
"Bodies, Rest & Motion","2500000","4","4","95","764083"
"Body of Evidence","30000000","4","4","99","13275426"
"Body of Lies","70000000","20","4","128","39394666"
"Body Parts","10000000","2","4","88","9188150"
"Body Snatchers","13000000","2","4","87","428868"
"Bogus","30000000","5","2","110","4357000"
"Boiling Point","9000000","20","4","92","10058318"
"Bolt","150000000","13","2","96","114053579"
"Bonnie and Clyde","2500000","11","4","111","5828000"
"Boogeyman","20000000","4","3","89","46752382"
"Boogie Nights","15000000","4","4","155","26400640"
"Book of Shadows: Blair Witch 2","15000000","2","4","90","26437094"
"Boomerang","40000000","5","4","117","70100000"
"Bopha!","12000000","4","3","120","212483"
"Bordertown","21000000","14","4","112","8329799"
"Bottle Rocket","7000000","5","4","91","1040879"
"Bound by Honor","35000000","20","4","180","4496583"
"Bowfinger","55000000","5","3","97","66384775"
"Bowling for Columbine","4000000","1","4","120","355644732002"
"Boys and Girls","16000000","5","3","94","40509632000"
"Boys on the Side","21000000","5","4","115","23450000"
"Boyz n the Hood","6000000","14","4","112","57504069"
"Braindead","3000000","5","4","104","242623"
"Brave","185000000","13","2","93","237283207"
"Braveheart","72000000","20","4","177","16679000"
"Brazil","15000000","8","4","94","9929135"
"Bride of Chucky","25000000","5","4","89","32383850"
"Bride Wars","30000000","5","2","89","58715510"
"Bridesmaids","32500000","5","4","131","169106725"
"Bridget Jones's Diary","26000000","5","4","97","71543427"
"Bridget Jones: The Edge of Reason","40000000","5","4","108","40226215"
"Brigham City","1000000","14","3","119","852206"
"Bright Star","8500000","11","2","119","127169"
"Bring It On","10000000","5","3","98","904499292001"
"Bringing Down the House","33000000","5","3","105","132716677"
"Bro'","5000000","20","4","89","12300000"
"Brokeback Mountain","14000000","4","4","134","83043761"
"Broken Arrow","50000000","20","4","108","70770147"
"Broken Flowers","10000000","5","4","106","13744960"
